Game Title,Publisher,Release Year,Platforms,Genre,Global Sales (Millions),Units Sold (Approx.),Metacritic Score
Elden Ring,Bandai Namco,2022,"PC, PS4/5, Xbox One/Series",Action RPG,25.0,25000000,96
Hogwarts Legacy,WB Games,2023,"PC, PS5, Xbox Series, Switch",Action RPG,24.0,24000000,84
The Legend of Zelda: TotK,Nintendo,2023,Switch,Action-Adventure,20.0,20280000,96
Call of Duty: MWII (2022),Activision,2022,"PC, PS4/5, Xbox One/Series",FPS,30.0,30000000,76
Pokémon Scarlet/Violet,Nintendo,2022,Switch,RPG,24.9,24920000,72
GTA V (updated sales),Rockstar,2013–ongoing,"PC, PS3–5, Xbox 360–Series",Open World,190.0,195000000,97
Spider-Man 2,Sony / Insomniac,2023,PS5,Action,10.0,10000000,90
Baldur's Gate 3,Larian Studios,2023,"PC, PS5",RPG,10.0,10000000,96
Mario Kart 8 Deluxe,Nintendo,2017,Switch,Racing,61.9,61970000,92
Animal Crossing: New Horizons,Nintendo,2020,Switch,Simulation,44.8,44890000,90
